	orig.ident	nCount_RNA	nFeature_RNA	Sample_ID	Cell_type
Osteoblasts_E04	Osteoblasts	2025681.421	36512	E04	Osteoblasts
BM & Prog._E04	BM & Prog.	57829.6621	8676	E04	BM & Prog.
Embryonic_stem_cells_E04	Embryonic_stem_cells	87527.60495	4736	E04	Embryonic_stem_cells
MSC_E04	MSC	1817865.75	35907	E04	MSC
T_cells_E16	T_cells	33402181.35	51303	E16	T_cells
Monocyte_E16	Monocyte	24316139.63	47603	E16	Monocyte
Myelocyte_E16	Myelocyte	898323.8936	24696	E16	Myelocyte
NK_cell_E16	NK_cell	31458546.1	50972	E16	NK_cell
Macrophage_E16	Macrophage	2890584.713	34496	E16	Macrophage
Platelets_E16	Platelets	254789.8082	13110	E16	Platelets
B_cell_E16	B_cell	2734141.884	33834	E16	B_cell
GMP_E16	GMP	2983648.947	32259	E16	GMP
Pro-Myelocyte_E16	Pro-Myelocyte	263042.3369	19185	E16	Pro-Myelocyte
Pre-B_cell_CD34-_E16	Pre-B_cell_CD34-	1967863.349	29487	E16	Pre-B_cell_CD34-
BM_E16	BM	5790.544892	543	E16	BM
Pro-B_cell_CD34+_E16	Pro-B_cell_CD34+	1200700.502	28870	E16	Pro-B_cell_CD34+
Neurons_E16	Neurons	5546726.136	47908	E16	Neurons
Neutrophils_E16	Neutrophils	910609.5644	25326	E16	Neutrophils
Endothelial_cells_E16	Endothelial_cells	622129.3858	22502	E16	Endothelial_cells
CMP_E16	CMP	286013.275	19710	E16	CMP
Astrocyte_E16	Astrocyte	6455513.492	49694	E16	Astrocyte
DC_E16	DC	720404.7821	24507	E16	DC
Chondrocytes_E16	Chondrocytes	138477.3383	7690	E16	Chondrocytes
Hepatocytes_E16	Hepatocytes	48304.54633	2827	E16	Hepatocytes
Gametocytes_E16	Gametocytes	694579.4297	20635	E16	Gametocytes
Smooth_muscle_cells_E16	Smooth_muscle_cells	414224.5715	17272	E16	Smooth_muscle_cells
MEP_E16	MEP	674471.6509	23398	E16	MEP
Tissue_stem_cells_E16	Tissue_stem_cells	51605.22222	2264	E16	Tissue_stem_cells
Neuroepithelial_cell_E16	Neuroepithelial_cell	255950.5175	10140	E16	Neuroepithelial_cell
HSC_CD34+_E16	HSC_CD34+	316906.5301	19439	E16	HSC_CD34+
iPS_cells_E16	iPS_cells	43365.82706	3805	E16	iPS_cells
HSC_-G-CSF_E16	HSC_-G-CSF	141893.7579	15835	E16	HSC_-G-CSF
Keratinocytes_E16	Keratinocytes	211487.1118	6689	E16	Keratinocytes
Erythroblast_E16	Erythroblast	79919.67181	6320	E16	Erythroblast
Epithelial_cells_E16	Epithelial_cells	50274.79836	3874	E16	Epithelial_cells
Fibroblasts_E16	Fibroblasts	325589.6348	11322	E16	Fibroblasts
Osteoblasts_E16	Osteoblasts	4878644.914	47318	E16	Osteoblasts
BM & Prog._E16	BM & Prog.	69666.75233	10113	E16	BM & Prog.
Embryonic_stem_cells_E16	Embryonic_stem_cells	268951.4342	11151	E16	Embryonic_stem_cells
MSC_E16	MSC	290842.3181	12801	E16	MSC
